id,jurisdiction_type_x,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type,jurisdiction_type_y,jeugdstrafrecht
ECLI-NL-RBALM-2002-AF1488,['Strafrecht'],almelo,,0,,2002,dec,mar,1999,,0,1,"['diacetylmorfine', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBZUT-2010-BN0956,['Strafrecht'],zutphen,,0,,2010,jul,apr,2010,,0,0,['hennep'],,0
ECLI-NL-PHR-2016-1528,['Strafrecht'],midden-nederland,arnhem-leeuwarden,1,,2016,nov,oct,2010,,0,1,"['cocaine', 'heroine']",,0
ECLI-NL-RBLIM-2013-8519,['Strafrecht'],limburg,,0,,2013,nov,may,2009,,0,0,"['hennep', 'mdma', 'amfetamines/metamfetamines', 'xtc', 'cocaine']",,0
ECLI-NL-RBMNE-2021-5463,['Strafrecht'],midden-nederland,,0,,2021,nov,oct,2021,,0,0,"['cocaine', 'mdma', 'amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-GHARL-2014-1353,['Strafrecht'],almelo,vonnis,1,,2014,feb,feb,2010,,0,0,"['amfetamines/metamfetamines', 'xtc']",,0
ECLI-NL-GHSGR-2012-BX1951,['Strafrecht'],dordrecht,'s-gravenhage,1,,2012,jul,apr,2008,,0,1,"['hennep', 'mdma', 'hasjiesj', 'amfetamines/metamfetamines', 'xtc', 'cocaine']",,0
ECLI-NL-RBGEL-2013-3276,['Strafrecht'],gelderland,,0,,2013,sep,feb,2011,,0,0,"['cocaine', 'hennep', 'xtc']",,0
ECLI-NL-HR-2006-AV2372,['Strafrecht'],,,0,,2006,may,aug,2004,23.0,0,0,"['cocaine', 'amfetamines/metamfetamines', 'heroine']",,0
ECLI-NL-RBDHA-2022-12128,['Strafrecht'],den haag,,0,leiden,2022,nov,feb,2022,20.0,0,0,"['cocaine', 'heroine']",,0
ECLI-NL-RBMNE-2020-908,['Strafrecht'],midden-nederland,,0,,2020,mar,feb,2019,,0,1,"['cocaine', 'heroine']",['Strafrecht'],1
ECLI-NL-RBROE-2011-BQ1114,['Strafrecht'],roermond,,0,,2011,apr,feb,2010,,0,0,"['amfetamines/metamfetamines', 'hennep']",,0
ECLI-NL-OGHACMB-2022-95,['Strafrecht'],,,0,,2022,may,oct,2020,,0,0,['cocaine'],,0
ECLI-NL-RBZWB-2021-5256,['Strafrecht'],zeeland-west-brabant,,0,,2021,oct,oct,2021,,0,0,['cocaine'],,0
ECLI-NL-PHR-2020-728,['Strafrecht'],hoofdzaak,’s-hertogenbosch,1,,2020,aug,nov,2004,,0,1,"['pmk', 'hennep', 'aceton', 'bmk', 'amfetamines/metamfetamines']",,0
ECLI-NL-RBROT-2019-8918,['Strafrecht'],rotterdam,,0,,2019,nov,sep,2019,,0,0,['cocaine'],,0
ECLI-NL-RBLIM-2019-934,['Strafrecht'],limburg,’s-hertogenbosch,1,,2019,feb,jun,2015,,0,0,"['heroine', 'hennep', 'mdma', 'tenamfetamine', 'bmk', 'amfetamines/metamfetamines', 'cocaine']",,0
