id,jurisdiction_type,rechtbank,gerechtshof,appeal,crime_location,verdict_date_year,verdict_date_month,crime_date_month,crime_date_year,age,minor,criminal_organization,drug_type
ECLI-NL-RBOVE-2017-4738,['Strafrecht'],overijssel,,0,hengelo,2017,dec,jun,2017,22.0,0,0,ghb
ECLI-NL-RBOVE-2017-4738,['Strafrecht'],overijssel,,0,hengelo,2017,dec,jun,2017,22.0,0,0,hennep
ECLI-NL-RBOVE-2017-4738,['Strafrecht'],overijssel,,0,hengelo,2017,dec,jun,2017,22.0,0,0,hasjiesj
ECLI-NL-RBOVE-2017-4738,['Strafrecht'],overijssel,,0,hengelo,2017,dec,jun,2017,22.0,0,0,cocaine
ECLI-NL-RBOVE-2017-4738,['Strafrecht'],overijssel,,0,hengelo,2017,dec,jun,2017,22.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBMNE-2017-1422,['Strafrecht'],midden-nederland,,0,almere,2017,feb,jul,2016,,0,0,amfetamines/metamfetamines
ECLI-NL-RBLIM-2021-7190,['Strafrecht'],limburg,’s-hertogenbosch,1,brunssum,2021,sep,may,2020,22.0,0,0,mdma
ECLI-NL-RBLIM-2021-7190,['Strafrecht'],limburg,’s-hertogenbosch,1,brunssum,2021,sep,may,2020,22.0,0,0,cocaine
ECLI-NL-RBMNE-2020-908,['Strafrecht'],midden-nederland,,0,amersfoort,2020,mar,feb,2019,,0,1,cocaine
ECLI-NL-RBMNE-2020-908,['Strafrecht'],midden-nederland,,0,amersfoort,2020,mar,feb,2019,,0,1,heroine
ECLI-NL-RBGEL-2018-4931,['Strafrecht'],gelderland,,0,arnhem,2018,sep,mar,2018,,0,0,hennep
ECLI-NL-RBGEL-2018-4931,['Strafrecht'],gelderland,,0,arnhem,2018,sep,mar,2018,,0,0,hasjiesj
ECLI-NL-RBNNE-2017-1642,['Strafrecht'],noord-nederland,,0,noord,2017,may,oct,2016,20.0,0,0,ghb
ECLI-NL-RBAMS-2019-9303,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2019,dec,nov,2019,20.0,0,0,mdma
ECLI-NL-RBAMS-2019-9303,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2019,dec,nov,2019,20.0,0,0,cocaine
ECLI-NL-RBAMS-2019-9303,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2019,dec,nov,2019,20.0,0,0,xtc
ECLI-NL-GHDHA-2016-3609,['Strafrecht'],den haag,den haag,1,alphen,2016,sep,jul,2016,19.0,0,0,hennep
ECLI-NL-RBNNE-2022-3089,['Strafrecht'],noord-nederland,,0,leeuwarden,2022,aug,nov,2020,19.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBAMS-2022-4321,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,jul,apr,2022,18.0,0,0,hennep
ECLI-NL-RBAMS-2022-4321,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,jul,apr,2022,18.0,0,0,hasjiesj
ECLI-NL-RBAMS-2022-4321,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,jul,apr,2022,18.0,0,0,amfetamines/metamfetamines
ECLI-NL-RBAMS-2022-4321,['Strafrecht; Materieel strafrecht'],amsterdam,,0,amsterdam,2022,jul,apr,2022,18.0,0,0,cocaine
ECLI-NL-PHR-2021-336,['Strafrecht'],ziet,'s-hertogenbosch,1,tilburg,2021,apr,jun,2012,,0,1,mdma
ECLI-NL-PHR-2021-336,['Strafrecht'],ziet,'s-hertogenbosch,1,tilburg,2021,apr,jun,2012,,0,1,hennep
ECLI-NL-PHR-2021-336,['Strafrecht'],ziet,'s-hertogenbosch,1,tilburg,2021,apr,jun,2012,,0,1,hasjiesj
ECLI-NL-PHR-2021-336,['Strafrecht'],ziet,'s-hertogenbosch,1,tilburg,2021,apr,jun,2012,,0,1,xtc
